E,F,L,I
34359951.21260305,21373.816129377272,253.30596872570482,397.88130837467713
28057355.742907558,30617.791560420934,253.61292155138702,403.4412280138856
35431982.11609094,34967.84428462613,253.18989774837783,371.9317609626851
28041948.68744233,21315.022018381096,250.94796999240342,366.9290196269449
36444562.18607961,26905.249605116507,252.8766960385893,377.62193952816585
32950211.408753864,31469.358723163783,251.49617198482918,345.7680011092174
33677615.77853969,26997.73301158137,256.37362522786367,408.4063413130727
31834518.543026865,23339.72271578812,252.35290689487118,359.5817317946926
28161856.421815425,31068.600024391148,259.1431665172396,382.2666962937509
35060848.40812222,27555.065901060505,257.05175477014944,367.28420402594907
33354364.845005997,24828.70269255394,253.50862841887505,345.0763173318328
32650036.582528695,53321.48491239969,252.51017732171073,414.9274064196715
31760377.08707273,34937.858468744904,257.6311315822481,340.28593650735166
32321024.64565009,20504.113025865678,257.4377496313702,373.25560204725014
40480798.857369,22558.58388028789,256.47255779337155,355.2800073040295
40143213.0470579,22229.65890564795,253.61837159264246,397.64449171332876
29241084.37305043,21022.119848015464,255.41206776536532,339.7936733322751
35948475.09559152,30486.29962848546,253.14320123388524,383.7108728726487
40332295.4311597,38288.9911272209,253.06103816644242,327.9031490269908
42878117.60289985,34599.749892857115,253.0475822307583,348.51918605201456
28917407.48150608,32391.62514913473,257.92338089448367,340.0480896185756
31124461.501452688,37326.20297954747,254.36194254454924,339.94152981659533
28102348.784948435,23932.159217643522,256.3260137381918,388.43591698148145
34510293.02632851,27236.86580021063,251.96030298968432,401.81672134221003
30678059.64601908,41836.36403213085,259.8298329366686,331.60670950206725
28304220.129013382,21257.526247229827,255.9109881215413,313.13466368006584
31603114.40831752,21404.793980640985,258.47968745329126,338.4672971089906
32467849.909416374,37964.710300525665,256.2989255933696,347.86857537574633
29982074.795751978,30463.040249978054,254.3339949054922,433.7465660056944
36148382.16508266,33058.36309138205,257.29636883851657,326.3142753120113
28029599.860345084,33576.81859992628,252.55860526785136,346.40314915520884
33502823.54114622,24992.34087727258,259.6858394967435,357.8345212483631
40415270.40839384,24516.07456738865,252.30637550884873,352.7385664880517
28045970.093922626,24240.5034762578,253.7650230553396,325.5045846167152
29435785.066764593,28305.763770427875,258.0886454793176,326.62522807258523
30416068.074962027,40912.78677983253,253.34789601973887,324.3080484555361
29849715.64455703,33415.72601366886,255.0147707502603,382.37313094179103
30648008.631874967,31777.278918233693,254.86594143196203,361.2944121299703
32001786.296873305,25436.69881293818,254.61923336397928,365.59938571600276
30812696.028449696,31725.526006268297,255.64204254287685,371.77594753984386
32028064.664978284,27168.028976979927,259.3209329894284,387.66412403616454
33943104.889990486,23935.528126156478,254.47797383149316,330.0187010233325
37433376.13798923,36534.78042574742,253.6801568631658,380.08671726183235
29675626.370568354,20954.613458345437,253.08626144520815,329.57805869565294
33724667.241763,29410.906974631085,254.61262946157407,379.10035515295067
29627694.08327122,21575.162469813382,251.8762079359892,363.1777231961082
33521492.289850295,32153.289313927737,250.64943060526815,352.4882036534475
34669851.80218724,20898.795925830676,254.88219562250208,346.21241854284796
30343188.93580735,55162.63146176939,258.767113142029,325.85905130184545
29111587.849122506,25960.190842580436,256.62490997192725,339.6092212925217
35690092.89373391,22780.380463166803,251.79621141143522,399.33844001067354
32852254.7384502,31881.23969984961,256.8275780904305,340.37371845583334
29469996.381928626,26915.320425467304,251.65641906532048,338.1926839436675
38834858.98932565,24277.315393962694,250.416211183349,394.77739067831715
45555860.677359946,47920.48221065685,250.4964892615492,345.41459501545523
35229796.80809849,24643.187927026833,254.85961190526558,350.8683152484358
30607857.640757576,22915.92560074257,250.05544801026036,374.8659420156272
31465032.821418617,32931.92928357124,255.583818376601,342.78995950793285
29830732.011799254,32860.48607610389,253.19163677317496,320.98563486295797
30074464.350757144,29921.137183281782,253.56440447452323,395.98342505819187
31415998.318005715,31609.648161868692,252.66831429796187,328.84542712694446
29774863.231086027,26076.738145767173,255.0833002724182,379.3021382922714
35197697.69976272,36055.42244552355,259.3060418262531,371.98130113807923
38729742.985826954,32703.750734174766,259.70838675729726,375.15723535087596
28999680.800255477,24547.273477356663,252.61595726178044,402.6580655544321
28044991.071605463,31264.677419212567,251.59590760476547,340.40760824916214
32005266.46827481,33729.14490689828,251.45708578956513,367.87556966791504
34126841.07236772,27652.887015008797,255.2798533259267,355.50051104415274
28490713.49548695,22311.573071256316,250.43512005359912,397.8207083089441
29776868.57026992,22391.18163139146,250.8007465984252,420.00670526228384
35264436.976604104,39181.96732194065,257.61503617412797,346.85386540676257
34412336.02036542,34195.778752520346,257.4537974315814,371.2090884208345
30146282.487509344,43888.62357741779,253.4032899420544,379.6917344192931
38954612.053728566,25727.856358783316,250.81063021990195,405.3680920072377
29927815.059335057,26059.113305754458,253.67371556301947,344.00064083718485
40487139.84953524,36613.0728130683,258.98865539287897,341.0307096057612
31460032.28246645,50946.35171893876,256.3915019263908,330.63375793614995
28592268.282780416,25057.10305885652,252.04344102819408,347.2894669923594
33482535.320826437,23998.75151653034,252.87773141916392,366.7078666257823
31330751.721635725,34577.29937092716,252.53614830612625,384.8942524143306
